date,symbol,open,close,low, high, volume, dailyChangePercentage
2015-01-21T10:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T11:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T12:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T13:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T14:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T15:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T16:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T17:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T18:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T19:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T20:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T21:36:00-02:00[America/Sao_Paulo],BTC,224.0,225.51,220.0,225.51,1.16133826,0.6741
2015-01-21T22:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,1.3624332,0.0
2015-01-21T23:36:00-02:00[America/Sao_Paulo],BTC,225.51,223.17,217.06,255.06,1.39663104,-1.0376
2015-01-22T00:36:00-02:00[America/Sao_Paulo],BTC,219.47,223.4,216.59,235.0,2.97,0.1031
2015-01-22T01:36:00-02:00[America/Sao_Paulo],BTC,226.81,246.62,220.83,257.73,2.25,10.3939
2015-01-22T02:36:00-02:00[America/Sao_Paulo],BTC,252.41,246.62,246.62,254.45,1.8,0.0
2015-01-22T03:36:00-02:00[America/Sao_Paulo],BTC,252.41,246.62,246.62,254.45,1.8,0.0
2015-01-22T04:36:00-02:00[America/Sao_Paulo],BTC,252.41,226.32,217.59,254.45,1.11,-8.2313
2015-01-22T05:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T06:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T07:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T08:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T09:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T10:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
