Date,Symbol,Open,Close,Low,High,Volume BTC,Volume USD
2019-08-06 07-AM,BTC,12140,12192.7,12133.1,12297.3,827.28,10098855.96
2019-08-06 06-AM,BTC,11800,12140,11791,12184.6,1459.45,17536931.16
2019-08-06 05-AM,BTC,11676.9,11800,11660,11800,142.19,1668486.8
2019-08-06 04-AM,BTC,11669,11676.9,11619.4,11676.9,76.9,895987.33
2019-08-06 03-AM,BTC,11647.7,11669,11613.7,11720,169.5,1978026.8
2019-08-06 02-AM,BTC,11676.2,11647.7,11564.4,11676.2,239.86,2785990.32
2019-08-06 01-AM,BTC,11760.1,11676.2,11412.8,11779.8,765.78,8891500.53
2019-08-06 12-AM,BTC,11799.6,11760.1,11620.1,11808,383.64,4498032.79
2019-08-05 11-PM,BTC,11799.9,11799.6,11744.9,11825,197.74,2329783.85
2019-08-05 10-PM,BTC,11731.5,11799.9,11718.1,11825,297.27,3503750.53
2019-08-05 09-PM,BTC,11718,11731.5,11690,11770,150.52,1764218.11
2019-08-05 08-PM,BTC,11765.1,11718,11669.1,11825,390.89,4592630.29
2019-08-05 07-PM,BTC,11807.2,11765.1,11736.9,11817.6,215.54,2538710.52
2019-08-05 06-PM,BTC,11790.1,11807.2,11770,11858.4,214.81,2538536.21
2019-08-05 05-PM,BTC,11880.1,11790.1,11775,11940,549.41,6521131.53
2019-08-05 04-PM,BTC,11770,11880.1,11751.6,11920,442.69,5237265.72
2019-08-05 03-PM,BTC,11795.1,11770,11654.4,11795.1,308.03,3610648.23
2019-08-05 02-PM,BTC,11773.7,11795.1,11751.1,11825,198.32,2338345.43
2019-08-05 01-PM,BTC,11793.9,11773.7,11744.5,11817.6,157.9,1861278.83
2019-08-05 12-PM,BTC,11796.4,11793.9,11735.3,11830,307.22,3621570.62
2019-08-05 11-AM,BTC,11643.4,11796.4,11619.4,11799.6,230.42,2701224.53
2019-08-05 10-AM,BTC,11736.5,11643.4,11602.7,11787.8,423.26,4955887.34
2019-08-05 09-AM,BTC,11759.9,11736.5,11701,11760,122.28,1433919.74
2019-08-05 08-AM,BTC,11686.9,11759.9,11663.3,11760,308.76,3616055.58
2019-08-05 07-AM,BTC,11615.9,11686.9,11612.1,11849,929.38,10907349.21
2019-08-05 06-AM,BTC,11563.5,11615.9,11543,11644,288.76,3346786.01
2019-08-05 05-AM,BTC,11574.8,11563.5,11532.1,11574.9,214.1,2474101.67
2019-08-05 04-AM,BTC,11574.5,11574.8,11550,11625,252.19,2921151.03
2019-08-05 03-AM,BTC,11600,11574.5,11500,11647.9,384.02,4438012.55
2019-08-05 02-AM,BTC,11423.5,11600,11376.5,11621.9,479.25,5506328.85
2019-08-05 01-AM,BTC,11215.1,11423.5,11200,11466.9,783.4,8881119.64
2019-08-05 12-AM,BTC,10972.4,11215.1,10972.4,11320,610.05,6808073.48
2019-08-04 11-PM,BTC,10980.6,10972.4,10950.3,11016.9,103.78,1139644.23
2019-08-04 10-PM,BTC,10968.7,10980.6,10929.3,11078.7,495.76,5453451.73
2019-08-04 09-PM,BTC,10949.7,10968.7,10825,10980,434.69,4736656.67
2019-08-04 08-PM,BTC,10947.8,10949.7,10925.1,11000,212.45,2330458.24
2019-08-04 07-PM,BTC,10948.2,10947.8,10940,10972.1,95.25,1043376.81
2019-08-04 06-PM,BTC,10928.2,10948.2,10912.9,10975,104.36,1142127.81
2019-08-04 05-PM,BTC,10957.1,10928.2,10900,10981.3,214.96,2352730.26
2019-08-04 04-PM,BTC,10975,10957.1,10914.4,11041,547.38,6003913.61
2019-08-04 03-PM,BTC,10799.7,10975,10798,11000,531.68,5802484.05
2019-08-04 02-PM,BTC,10678.5,10799.7,10678.5,10800,166.87,1793765.5
2019-08-04 01-PM,BTC,10671.8,10678.5,10659.9,10711.5,52.56,561548.54
2019-08-04 12-PM,BTC,10676.1,10671.8,10650,10714.9,84.76,905249.14
2019-08-04 11-AM,BTC,10729.1,10676.1,10675.2,10730,65.84,704525.18
2019-08-04 10-AM,BTC,10742.4,10729.1,10707.6,10746,60.79,651893.2
2019-08-04 09-AM,BTC,10700,10742.4,10660.1,10742.4,70.66,755807.64
2019-08-04 08-AM,BTC,10682.5,10700,10682.5,10722.4,44.43,475546.05
2019-08-04 07-AM,BTC,10731.5,10682.5,10675,10734.4,74.01,792269.84
2019-08-04 06-AM,BTC,10627.4,10731.5,10615,10731.5,213.9,2285308.85
2019-08-04 05-AM,BTC,10630,10627.4,10539.9,10680,351.9,3736757
2019-08-04 04-AM,BTC,10771.1,10630,10550.9,10771.1,588.61,6265688.99
2019-08-04 03-AM,BTC,10843,10771.1,10717.8,10843,227.17,2448506.54
2019-08-04 02-AM,BTC,10853.1,10843,10819.2,10866.6,65.73,712186.39
