date,symbol,open,close,low, high, volume
2015-09-02,BTC,226.81,229.65,226.43,231.36,8090.888881379992
2015-09-03,BTC,229.65,228.51,226.48,230.34,7175.245516159999
2015-09-04,BTC,228.48,230.7,227.62,232.25,7440.853658300002
2015-09-05,BTC,230.65,239.8,230.3,241.0,7365.610857480006
2015-09-06,BTC,239.77,241.07,238.88,244.82,5946.082880809995
2015-09-07,BTC,241.07,242.17,239.21,243.94,5653.928210790002
2015-09-08,BTC,242.11,244.1,241.67,247.0,8721.388704129986
2015-09-09,BTC,244.03,239.49,238.6,244.69,7132.62924536001
2015-09-10,BTC,239.49,240.96,236.69,241.31,6649.642184700014
2015-09-11,BTC,240.96,240.96,239.33,241.54,6085.0407821100025
2015-09-12,BTC,240.94,235.91,235.03,241.12,5826.974098519993
2015-09-13,BTC,235.91,229.84,229.22,236.47,6098.181542179998
2015-09-14,BTC,229.81,232.31,228.01,233.61,8159.771394629994
2015-09-15,BTC,232.33,231.59,230.26,232.43,7657.286958569999
2015-09-16,BTC,231.54,230.54,226.85,232.0,8099.285510010006
2015-09-17,BTC,230.54,233.38,229.01,235.93,7760.810818880011
2015-09-18,BTC,233.38,232.98,231.75,234.38,6991.84483494002
2015-09-19,BTC,232.98,232.67,232.0,233.91,3472.4272715599986
2015-09-20,BTC,232.57,232.28,231.84,234.0,4517.60729484001
2015-09-21,BTC,232.09,228.69,226.87,232.51,8816.878301540011
2015-09-22,BTC,228.69,231.86,224.45,232.69,9756.959348009996
2015-09-23,BTC,231.85,231.44,229.27,232.22,7046.0775756400035
2015-09-24,BTC,231.43,234.86,231.0,235.99,9854.28137128001
2015-09-25,BTC,234.85,236.07,234.02,237.62,7094.520834079998
2015-09-26,BTC,236.06,234.66,233.5,236.12,4332.781830350007
2015-09-27,BTC,234.62,235.23,233.2,235.23,4109.4088246400015
2015-09-28,BTC,235.3,239.66,235.29,241.05,9688.05650838001
2015-09-29,BTC,239.6,238.05,236.65,240.98,6640.19560128
2015-09-30,BTC,238.05,238.15,236.26,238.75,5757.11747561
2015-10-01,BTC,238.1,239.23,236.97,239.83,6510.15831667001
2015-10-02,BTC,239.23,238.7,236.97,239.32,6822.142663510017
2015-10-03,BTC,238.69,239.9,238.15,240.62,4843.571637179998
2015-10-04,BTC,239.81,239.18,238.88,240.28,4917.35823015
2015-10-05,BTC,239.17,241.55,237.5,241.55,8428.97320746001
2015-10-06,BTC,241.53,247.62,240.31,248.0,11716.25556905001
2015-10-07,BTC,247.6,245.2,240.2,247.81,9457.51458549003
2015-10-08,BTC,245.13,242.75,241.1,245.38,6242.584548090014
2015-10-09,BTC,242.15,245.23,242.15,245.39,5309.0126186599855
2015-10-10,BTC,245.18,246.13,243.8,246.62,4447.659764560005
2015-10-11,BTC,246.12,248.83,245.63,249.98,5064.915048540006
2015-10-12,BTC,248.83,245.71,244.86,249.14,6624.193203339998
2015-10-13,BTC,245.65,250.97,245.33,251.5,7726.25161811
2015-10-14,BTC,250.96,254.99,250.25,255.0,8147.235067989999
2015-10-15,BTC,254.99,256.16,253.29,256.77,7453.86973154
2015-10-16,BTC,256.18,267.35,255.52,267.6,9855.521889650003
2015-10-17,BTC,267.35,272.07,264.18,274.81,11320.721383510003
2015-10-18,BTC,271.96,266.23,262.94,272.5,6287.6986623900075
2015-10-19,BTC,266.23,265.93,262.05,268.12,6584.568218910025
2015-10-20,BTC,265.93,272.22,264.38,272.95,10107.119187220027
